adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ic16B2KUfEFicIB3eiBUAYqrwz7.jpg,"[16, 10751, 12, 35]",326359,en,Frozen Fever,"On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.",35.478,/mPrDJ7puYzPLG5kPM96iNszF2sM.jpg,2015-03-09,Frozen Fever,False,6.843,1785
False,/7t4OgKvzqfvDcB2nA6oPyEHWd2G.jpg,"[53, 9648, 27]",207933,en,Stonehearst Asylum,"An Oxford Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.",60.855,/fZxGCCQ0NAtraevqULJ84wSSjo0.jpg,2014-10-23,Stonehearst Asylum,False,6.843,1367
False,/5L5NYXBPmThp1OBj3IGStlRGltx.jpg,"[10402, 18]",109417,en,Battle of the Year,"A down-on-his-luck coach is hired to prepare a team of the best American dancers for an international tournament that attracts all the best crews from around the world, but the Americans haven't won in fifteen years.",11.05,/klOquwqD8LtTvm9pWc1vJH143Zb.jpg,2013-09-21,Battle of the Year,False,6.8,325
False,/mM2z8GxiosnCjk0vJC1Lpv1xysj.jpg,"[18, 9648, 10749, 53]",11208,en,Wicker Park,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.",19.066,/gRKEluSpV1wBrZVTvLLaCSkzqcf.jpg,2004-09-03,Wicker Park,False,6.843,657
False,/lekXv2HA6pbhNicUGgGn74yhKFK.jpg,"[35, 10749]",10780,en,Overboard,"Heiress Joanna Stayton hires carpenter Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when it's done. But after Joanna accidentally falls overboard and loses her memory, Dean sees an opportunity to get even.",41.777,/v9MVFgUTvNRXmm2WWOzST6UXb5x.jpg,1987-12-16,Overboard,False,6.843,813
False,/47WfbtmsreEhNy2OzEDBxk9ZlzG.jpg,"[27, 35, 53]",9059,en,Tales from the Crypt: Demon Knight,"Ex-soldier Frank Brayker is the guardian of an ancient key that can unlock tremendous evil; the sinister Collector is a demon who wants the key so he can initiate the apocalypse. On the run from wicked mercenaries for almost 90 years, Brayker finally stops in at a boarding house in New Mexico where — with the help of its residents — he plans to face off against the Collector and his band of ghouls, preventing them from ever seizing the key.",17.258,/1TekTWa1htkb554KDplTXskQupo.jpg,1995-01-13,Tales from the Crypt: Demon Knight,False,6.843,462
False,/pDKFL1zcHzEpmz4MJA5JJnRbJeD.jpg,"[27, 53, 18]",405774,en,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",175.543,/rGfGfgL2pEPCfhIvqHXieXFn7gp.jpg,2018-12-13,Bird Box,False,6.842,9644
False,/6B2tOYhaIpv3kPKBkvdebX624Gw.jpg,"[16, 35, 10751, 37, 12]",44896,en,Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",105.655,/vGujQOfGIaZx5UWxf9JdNEOxl7B.jpg,2011-03-02,Rango,False,6.842,6260
False,/budvUJdSNKVzEkNdoh4qa4r7Vj1.jpg,"[16, 10751]",15167,en,Barbie in the Nutcracker,"""Barbie"" stars as Clara in this animated retelling of the classic Christmas ballet, complete with Tchaikovsky soundtrack and ballet choreography.",23.505,/eIkXJggVmzN4MyPgJ2kDjOy9lmQ.jpg,2001-09-30,Barbie in the Nutcracker,False,6.842,1021
False,/k5LISwQzFyNiw0o1G0azI3YmFnO.jpg,"[18, 10749]",15143,en,Some Kind of Wonderful,"A young tomboy, Watts, finds her feelings for her best friend, Keith, run deeper than just friendship when he gets a date with the most popular girl in school.",16.347,/6z6ZUrwbAJl9Nq43OY77O7iY80x.jpg,1987-02-27,Some Kind of Wonderful,False,6.842,447
False,/cwVwPnsMHrgfM0dkpAJIeU4YEQN.jpg,"[28, 18, 36, 10752]",13813,en,Defiance,"Based on a true story, during World War II, four Jewish brothers escape their Nazi-occupied homeland of West Belarus in Poland and join the Soviet partisans to combat the Nazis. The brothers begin the rescue of roughly 1,200 Jews still trapped in the ghettos of Poland.",24.794,/z6yNHcQOveRuAohuejdDFQDEBSs.jpg,2008-12-31,Defiance,False,6.842,1684
False,/hbvCZ12HiC6Dx4mbgeUr7aHBIPP.jpg,"[16, 10751, 12, 14]",13285,en,Barbie Fairytopia: Mermaidia,"In this animated follow-up to Fairytopia, Elina enlists the help of a mermaid, Nori, to save her friend Nalu, a merman prince who has been captured by the wicked Laverna.",29.599,/igsqS7rpnkAT92Iqo5sYwTs1KWo.jpg,2006-03-14,Barbie Fairytopia: Mermaidia,False,6.842,676
False,/orXMq2jZy8wFmePv7zXS2Kor7Ug.jpg,"[37, 27, 18]",294963,en,Bone Tomahawk,"During a shootout in a saloon, Sheriff Hunt injures a suspicious stranger. The doctor's assistant, wife of the local foreman, tends to him in prison. That night, the town is attacked and they both disappear—only the arrow of a cannibal tribe is found. Hunt and a few of his men go in search of the prisoner and the foreman's wife.",29.385,/4MmTHpn2Y8emqvBgvOjufImUmKZ.jpg,2015-10-23,Bone Tomahawk,False,6.841,2101
False,/sx8kiWYjqlV0GADTD71Y8iH0joK.jpg,[35],56804,it,Viaggi di nozze,The vicissitudes of three couples of newlyweds from the celebration of weddings to their respective honeymoons.,7.976,/9nAS1pf731RaCrYlH2CccMH7mVR.jpg,1995-12-15,Honeymoon Trips,False,6.841,481
False,/ctkL5izZ0W0f3TjM2Zb80pHJ6V9.jpg,"[18, 10749, 35]",55347,en,Beginners,"Oliver meets the irreverent and unpredictable Anna only months after his father Hal Fields has passed away. This new love floods Oliver with memories of his father, who, following the death of his wife of 44 years, came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life – which included a younger boyfriend.",17.025,/io2Tm89or3jO2pDtEAPEACx4wUe.jpg,2011-06-09,Beginners,False,6.841,996
False,/5mUTmmBFbsXlJE66XOumJSzYK7M.jpg,"[27, 10749]",252171,en,A Girl Walks Home Alone at Night,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",30.33,/cd2rCE1nun7CESjBI8PGNEof1tb.jpg,2014-11-21,A Girl Walks Home Alone at Night,False,6.84,820
False,/it6CgqSeJnszMlRfizm0KcoOXDz.jpg,[18],44835,en,Hesher,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,42.664,/dD03azf3h1hUHVzVkkqJs96Kkay.jpg,2010-01-22,Hesher,False,6.84,655
False,/6HIKazuQe16r7KhCNm5O7mcNYCm.jpg,"[18, 10749, 10752]",22971,en,Dear John,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",25.074,/2lAPv2jQ5eh54l4EttA9wjDljED.jpg,2010-02-04,Dear John,False,6.84,4058
False,/m58yUAi6CuHJ61eYGtSOaV996qn.jpg,"[14, 16, 18, 10749, 10751]",18937,en,Quest for Camelot,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.",17.554,/xBmKXg0phTpWaJVN0OP6yfGUJur.jpg,1998-05-15,Quest for Camelot,False,6.84,783
False,/kKIPDZzj3lAiQKZsCyTJ8ppQzgS.jpg,"[18, 28]",13275,en,Annapolis,"Jake Huard, from a shipbuilders family, promised his dying mother he'ld make it to Anapolis Naval Academy. Thanks to tenaciously bugging a Congressman, he's selected despite dubious grades. Once inside, Jake soon proves sub-standard academically. Constantly challenged to his limits, repeatedly made the 'over-cocky' reason for the entire class to suffer, Jake nearly quits, but after facing his utterly un-supportive father's gloating returns just in time. Stubborn Jake finds support withs mates as well as Senor Ali, his lover-to-be, and a discipline he may excel in: the 'brigade' boxing tournament, open to all ranks.",23.185,/hH6YeqFcihbZsz7iWl6MzQVzL8O.jpg,2006-01-27,Annapolis,False,6.84,484
False,/x286ZITKvbohZakhcnxuUIyFeu5.jpg,"[53, 18]",10998,en,Fatal Attraction,"For Dan Gallagher, life is good. He is on the rise at his New York law firm, is happily married to his wife, Beth, and has a loving daughter. But, after a casual fling with a sultry book editor named Alex, everything changes. Jilted by Dan, Alex becomes unstable, her behavior escalating from aggressive pursuit to obsessive stalking. Dan realizes that his main problem is not hiding his affair, but rather saving himself and his family.",25.316,/vjB9XwJKnYqFKKjhWcE6WpAf5Ki.jpg,1987-09-18,Fatal Attraction,False,6.84,1391
False,/gdJ6j1hmt6dQgObWxDJAHUb58o6.jpg,"[16, 35, 10751]",10258,en,The Madagascar Penguins in a Christmas Caper,"During the holiday season, when the animals of the Central Park Zoo are preparing for Christmas, Private, the youngest of the penguins notices that the Polar Bear is all alone. Assured that nobody should have to spend Christmas alone, Private goes into the city for some last-minute Christmas shopping. Along the way, he gets stuffed into a stocking",12.358,/gOVdfrRfzQjYwezOxIap13j05d8.jpg,2005-09-23,The Madagascar Penguins in a Christmas Caper,False,6.84,351
False,/7lmBufEG7P7Y1HClYK3gCxYrkgS.jpg,"[12, 28, 878]",10138,en,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",146.098,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,2010-04-28,Iron Man 2,False,6.8,20511
False,/gFFs5F3nb1CRoWQ57sEA816bce0.jpg,[18],254578,de,Phoenix,"German-Jewish cabaret singer Nelly survived Auschwitz but had to undergo reconstructive surgery as her face was disfigured. Without recognizing Nelly, her former husband Johnny asks her to help him claim his wife’s inheritance. To see if he betrayed her, she agrees, becoming her own doppelganger.",24.369,/AucV9Srp4eX3BmPLcQLx7AtRIQj.jpg,2014-09-25,Phoenix,False,6.839,416
False,/cFgHrvRjoRHOrtolzrJov7v4s54.jpg,"[10749, 18, 10402]",243683,en,Step Up All In,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",36.974,/hNJGTM4ovc32sWMA0HxYm3fvLrM.jpg,2014-07-16,Step Up All In,False,6.839,1891
False,/toJ3y1kNbOF6dFY0UZwBvExFTaM.jpg,"[18, 10749]",2288,en,Closer,Two couples disintegrate when they begin destructive adulterous affairs with each other.,62.185,/fGGaokx4k00S0J603VG53Qlr9jz.jpg,2004-12-03,Closer,False,6.8,3291
False,/kdyYOwpKvvD2fSbwfnMM2YPAzfq.jpg,"[80, 35, 28]",187017,en,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",34.756,/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,2014-06-05,22 Jump Street,False,6.838,7733
False,/hDUGoS4BKEAn5ZwJsFEGPU2fJtS.jpg,"[18, 36]",9746,en,Kundun,"The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since.",19.047,/yvdFRDoQIQ5PBk4u8x8gJT8NJAw.jpg,1997-12-25,Kundun,False,6.838,433
False,/ue9ScDQ60jzMAuZ54tm4mTdLFfq.jpg,"[28, 12, 18]",9433,en,The Edge,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",60.574,/mwzaD2KmWzGUyVJtcUUilH9EbtL.jpg,1997-09-06,The Edge,False,6.838,1126
False,/38Y65sf9O4zLq6Ke2KdpANYk0G3.jpg,"[53, 878, 28]",2787,en,Pitch Black,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",30.37,/oulNpuqYV6bseMbq2ynQ5F8hwtx.jpg,2000-02-18,Pitch Black,False,6.838,4261
False,/7rM3DbgVppDbcLBiXdhqrubXZBM.jpg,"[35, 80, 12]",1871,fr,Fantômas,Fantômas is a man of many disguises. He uses maquillage as a weapon. He can impersonate anyone using an array of masks and can create endless confusion by constantly changing his appearance.,34.723,/bZd7mSdJQENp8WpanJpriWno8EZ.jpg,1964-11-04,Fantomas,False,6.838,702
False,/sODk4VuMTt8S56zYFOr1Kx8BFqu.jpg,"[28, 53, 878, 12]",95,en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",73.136,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,1998-07-01,Armageddon,False,6.838,7686
False,/gb3TVVZNNxVGNfS1NxGaiWZfwnW.jpg,"[53, 18, 9648, 80]",446021,en,Bad Times at the El Royale,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption.",29.728,/iNtFgXqXPRMkm1QO8CHn5sHfUgE.jpg,2018-10-04,Bad Times at the El Royale,False,6.837,3451
False,/FTpFec420ztDa6HSpwLxGuwzis.jpg,"[878, 16, 28, 12]",56590,en,All Star Superman,"Lex Luthor enacts his plan to rid the world of Superman, once and for all. Succeeding with solar radiation poisoning, the Man of Steel is slowly dying. With what little times remains, the Last Son of Krypton must confront the revealing of his secret identity to Lois Lane and face Luthor in a final battle.",12.333,/ggiozzxw9MlMIKqSN0wkM45uAYA.jpg,2011-01-01,All Star Superman,False,6.837,468
False,/j1FMMJhWWK3im0XtnBAYm9IaEXD.jpg,"[18, 10749]",17612,en,Lost and Delirious,"After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.",17.351,/3Cu95A09arsfTsOJfygVwhJe5qc.jpg,2001-01-21,Lost and Delirious,False,6.837,479
False,/xRpQkuQr4loiLiks2T15TanM2m2.jpg,"[28, 53]",1991,en,Death Proof,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",46.11,/vtu6H4NWnQVqEp3aanUq3hNeeot.jpg,2007-05-22,Death Proof,False,6.837,4968
False,/iCgrll4baFEjqRDVhi6sHEEMyd.jpg,"[18, 9648, 53]",401898,no,Thelma,A college student starts to experience extreme seizures. She soon learns that the violent episodes are a symptom of inexplicable abilities.,43.199,/yzSfG8TLAqw7nMQh2lxirQkQpgs.jpg,2017-09-15,Thelma,False,6.836,983
False,/yWZCOzib7BipGjYJ39nrplb1Fy.jpg,"[28, 16, 878]",303857,ja,ドラゴンボールZ 復活の「F」,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",69.392,/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg,2015-04-18,Dragon Ball Z: Resurrection 'F',False,6.835,1846
False,/a0jJMlI1Nw83EXaYmN0QHuccRXm.jpg,"[28, 35, 80]",238713,en,Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",35.079,/6On9Ed52fz8W1h9PzaDQ12ZfHdn.jpg,2015-05-06,Spy,False,6.836,5862
False,/afC5IhoNZb8MqDHuiWOAcLjqi6b.jpg,"[35, 18]",65057,en,The Descendants,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune.",17.357,/8cDq5UlOPYeKm39okALCEOsZPxk.jpg,2011-09-09,The Descendants,False,6.836,2698
False,/zJmSB5hc8nODfENl7IAZMDHgwSH.jpg,"[18, 10749]",10362,en,Two Lovers,A depressed man moves back in with his parents following a recent heartbreak and finds himself with two women.,51.366,/skwYEUcxhUub9QCSwPDMvBySphS.jpg,2008-11-19,Two Lovers,False,6.836,826
